date UTC since epoch [s],date from Keithley,Voltage AFE U[V],Voltage AFE U[bit],Voltage Keithley [V],master measured voltage U[bit],slave measured voltage U[bit],master measured current U[bit],slave measured current U[bit]
1651285759.1735404,30-Apr-202204:29:16.00,55.5,2086,-55.5673,3109,3118,2858,0
1651285785.2546926,30-Apr-202204:29:42.00,55.5,2086,-55.5674,3109,3118,2359,0
1651285811.1832762,30-Apr-202204:30:08.00,55.5,2086,-55.5657,3109,3118,1356,0
1651285837.154052,30-Apr-202204:30:34.00,55.5,2086,-55.5658,3109,3118,3142,0
1651285863.2694163,30-Apr-202204:31:00.00,55.5,2086,-55.5665,3108,3118,1077,0
1651285889.2020004,30-Apr-202204:31:26.00,55.5,2086,-55.5666,3108,3118,1648,0
1651285915.14893,30-Apr-202204:31:52.00,55.5,2086,-55.5672,3109,3118,2953,0
1651285941.2413347,30-Apr-202204:32:18.00,55.5,2086,-55.5678,3109,3118,1146,0
1651285967.1743453,30-Apr-202204:32:44.00,55.5,2086,-55.5676,3109,3118,1095,0
1651285993.1547902,30-Apr-202204:33:10.00,55.5,2086,-55.5684,3108,3117,1959,0
1651286019.244282,30-Apr-202204:33:36.00,55.5,2086,-55.5666,3109,3118,1707,0
1651286045.1670787,30-Apr-202204:34:02.00,55.5,2086,-55.5672,3109,3118,1649,0
1651286071.1233346,30-Apr-202204:34:28.00,55.5,2086,-55.5672,3109,3118,2130,0
1651286097.2540703,30-Apr-202204:34:54.00,55.5,2086,-55.5676,3109,3118,3016,0
1651286123.1797864,30-Apr-202204:35:20.00,55.5,2086,-55.5669,3109,3118,3016,0
1651286149.1301029,30-Apr-202204:35:46.00,55.5,2086,-55.5673,3109,3118,1537,0
1651286175.2157578,30-Apr-202204:36:12.00,55.5,2086,-55.5667,3109,3117,2207,0
1651286201.1487908,30-Apr-202204:36:38.00,55.5,2086,-55.566,3109,3118,2915,0
1651286227.124913,30-Apr-202204:37:04.00,55.5,2086,-55.5668,3108,3118,2557,0
1651286253.0761373,30-Apr-202204:37:30.00,55.5,2086,-55.5668,3109,3117,3241,0
1651286279.1507194,30-Apr-202204:37:56.00,55.5,2086,-55.5662,3108,3118,2691,0
1651286305.1123657,30-Apr-202204:38:22.00,55.5,2086,-55.5661,3108,3118,1256,0
1651286331.0750928,30-Apr-202204:38:48.00,55.5,2086,-55.5659,3108,3118,1292,0
1651286357.1553771,30-Apr-202204:39:14.00,55.5,2086,-55.5667,3109,3118,1168,0
1651286383.0848522,30-Apr-202204:39:40.00,55.5,2086,-55.5669,3109,3118,1605,0
1651286409.0563645,30-Apr-202204:40:06.00,55.5,2086,-55.5664,3109,3117,3184,0
1651286435.1710365,30-Apr-202204:40:32.00,55.5,2086,-55.567,3109,3118,3051,0
1651286461.0985842,30-Apr-202204:40:58.00,55.5,2086,-55.5668,3108,3118,3175,0
1651286487.0566325,30-Apr-202204:41:24.00,55.5,2086,-55.5663,3109,3117,1505,0
1651286513.141974,30-Apr-202204:41:50.00,55.5,2086,-55.5661,3109,3118,3024,0
1651286539.087556,30-Apr-202204:42:16.00,55.5,2086,-55.5662,3108,3118,2537,0
1651286565.0569432,30-Apr-202204:42:42.00,55.5,2086,-55.5655,3109,3118,2466,0
1651286591.1400652,30-Apr-202204:43:08.00,55.5,2086,-55.566,3109,3118,2738,0
1651286617.069404,30-Apr-202204:43:34.00,55.5,2086,-55.5665,3109,3118,2588,0
1651286643.0333707,30-Apr-202204:44:00.00,55.5,2086,-55.5659,3109,3118,1102,0
1651286669.1488173,30-Apr-202204:44:26.00,55.5,2086,-55.5665,3109,3118,2540,0
1651286695.0971687,30-Apr-202204:44:52.00,55.5,2086,-55.5668,3109,3119,1114,0
1651286721.0309286,30-Apr-202204:45:18.00,55.5,2086,-55.5659,3109,3117,1097,0
1651286747.1171973,30-Apr-202204:45:44.00,55.5,2086,-55.5665,3109,3118,1599,0
1651286773.0627663,30-Apr-202204:46:10.00,55.5,2086,-55.5659,3109,3118,1671,0
1651286799.0323372,30-Apr-202204:46:36.00,55.5,2086,-55.5664,3109,3118,1756,0
1651286825.1228576,30-Apr-202204:47:02.00,55.5,2086,-55.5666,3109,3118,1301,0
1651286851.058003,30-Apr-202204:47:28.00,55.5,2086,-55.5666,3109,3118,1110,0
1651286877.016135,30-Apr-202204:47:54.00,55.5,2086,-55.5658,3109,3118,3065,0
1651286903.117336,30-Apr-202204:48:20.00,55.5,2086,-55.5666,3108,3118,3253,0
1651286929.0642376,30-Apr-202204:48:46.00,55.5,2086,-55.566,3109,3117,2021,0
1651286955.0145435,30-Apr-202204:49:12.00,55.5,2086,-55.5658,3108,3118,1217,0
1651286981.1076868,30-Apr-202204:49:38.00,55.5,2086,-55.5643,3109,3119,3266,0
1651287007.0489883,30-Apr-202204:50:04.00,55.5,2086,-55.5646,3108,3118,1458,0
1651287033.025095,30-Apr-202204:50:30.00,55.5,2086,-55.5662,3109,3118,1614,0
1651287059.1013296,30-Apr-202204:50:56.00,55.5,2086,-55.5655,3108,3118,1389,0
1651287085.0383866,30-Apr-202204:51:22.00,55.5,2086,-55.5658,3109,3118,3234,0
1651287111.147321,30-Apr-202204:51:48.00,55.5,2086,-55.5658,3109,3118,2829,0
1651287137.0729384,30-Apr-202204:52:14.00,55.5,2086,-55.5644,3109,3119,1531,0
1651287163.0483403,30-Apr-202204:52:40.00,55.5,2086,-55.5654,3109,3118,3261,0
1651287188.9994967,30-Apr-202204:53:06.00,55.5,2086,-55.5662,3108,3117,1100,0
1651287215.08673,30-Apr-202204:53:32.00,55.5,2086,-55.5653,3108,3118,1638,0
1651287241.0213726,30-Apr-202204:53:58.00,55.5,2086,-55.5666,3109,3118,3214,0
1651287267.0025864,30-Apr-202204:54:24.00,55.5,2086,-55.566,3109,3118,3266,0
1651287293.0854323,30-Apr-202204:54:50.00,55.5,2086,-55.5664,3109,3118,1226,0
1651287319.0198734,30-Apr-202204:55:16.00,55.5,2086,-55.5664,3109,3118,1467,0
1651287344.969609,30-Apr-202204:55:42.00,55.5,2086,-55.5666,3109,3118,1777,0
1651287371.10102,30-Apr-202204:56:08.00,55.5,2086,-55.5657,3109,3118,3042,0
1651287397.020253,30-Apr-202204:56:34.00,55.5,2086,-55.566,3108,3118,2833,0
1651287422.977975,30-Apr-202204:57:00.00,55.5,2086,-55.5657,3108,3118,1659,0
1651287449.0721414,30-Apr-202204:57:26.00,55.5,2086,-55.5654,3108,3118,1489,0
1651287474.9864929,30-Apr-202204:57:52.00,55.5,2086,-55.5651,3108,3118,1214,0
1651287500.9719374,30-Apr-202204:58:18.00,55.5,2086,-55.5647,3108,3118,2766,0
1651287526.9230459,30-Apr-202204:58:44.00,55.5,2086,-55.565,3109,3117,2430,0
1651287553.0004513,30-Apr-202204:59:10.00,55.5,2086,-55.5645,3109,3118,2405,0
1651287578.9541514,30-Apr-202204:59:36.00,55.5,2086,-55.5662,3108,3118,1783,0
1651287604.9247854,30-Apr-202205:00:02.00,55.5,2086,-55.5663,3109,3118,2275,0
1651287631.0067973,30-Apr-202205:00:28.00,55.5,2086,-55.5658,3108,3118,2113,0
1651287656.9376242,30-Apr-202205:00:54.00,55.5,2086,-55.5653,3108,3118,1515,0
1651287683.0469282,30-Apr-202205:01:20.00,55.5,2086,-55.5655,3108,3118,1370,0
1651287708.979799,30-Apr-202205:01:46.00,55.5,2086,-55.566,3109,3118,2981,0
1651287734.9392378,30-Apr-202205:02:12.00,55.5,2086,-55.5657,3109,3118,2030,0
1651287760.8970623,30-Apr-202205:02:38.00,55.5,2086,-55.5648,3108,3118,2231,0
1651287786.9768333,30-Apr-202205:03:04.00,55.5,2086,-55.5654,3109,3118,1161,0
1651287812.9166868,30-Apr-202205:03:30.00,55.5,2086,-55.5661,3109,3118,3271,0
1651287838.8934965,30-Apr-202205:03:56.00,55.5,2086,-55.5646,3109,3118,3202,0
1651287864.9841673,30-Apr-202205:04:22.00,55.5,2086,-55.5665,3109,3118,1188,0
1651287890.9133832,30-Apr-202205:04:48.00,55.5,2086,-55.5658,3109,3118,2994,0
1651287916.874913,30-Apr-202205:05:14.00,55.5,2086,-55.5664,3108,3118,2245,0
1651287942.9970338,30-Apr-202205:05:40.00,55.5,2086,-55.5659,3108,3118,1665,0
1651287968.9234989,30-Apr-202205:06:06.00,55.5,2086,-55.5657,3108,3118,2719,0
1651287994.8741393,30-Apr-202205:06:32.00,55.5,2086,-55.5655,3109,3118,1069,0
1651288020.9690375,30-Apr-202205:06:58.00,55.5,2086,-55.5661,3108,3118,1964,0
1651288046.9009976,30-Apr-202205:07:24.00,55.5,2086,-55.5659,3109,3118,2075,0
1651288072.869751,30-Apr-202205:07:50.00,55.5,2086,-55.5669,3109,3118,3139,0
1651288098.81932,30-Apr-202205:08:16.00,55.5,2086,-55.5662,3109,3117,1125,0
1651288124.892354,30-Apr-202205:08:42.00,55.5,2086,-55.5661,3109,3118,2537,0
1651288150.8536963,30-Apr-202205:09:08.00,55.5,2086,-55.5666,3108,3118,1109,0
1651288176.8230703,30-Apr-202205:09:34.00,55.5,2086,-55.5669,3108,3118,1633,0
1651288202.905255,30-Apr-202205:10:00.00,55.5,2086,-55.5665,3108,3118,1539,0
1651288228.8345804,30-Apr-202205:10:26.00,55.5,2086,-55.5661,3108,3118,3214,0
1651288254.9388876,30-Apr-202205:10:52.00,55.5,2086,-55.5652,3108,3118,3195,0
1651288280.8749282,30-Apr-202205:11:18.00,55.5,2086,-55.5659,3109,3118,3034,0
1651288306.8426838,30-Apr-202205:11:44.00,55.5,2086,-55.5663,3109,3118,1346,0
1651288332.7906845,30-Apr-202205:12:10.00,55.5,2086,-55.5654,3109,3118,1180,0
1651288358.878011,30-Apr-202205:12:36.00,55.5,2086,-55.5662,3108,3118,1104,0
1651288384.8185232,30-Apr-202205:13:02.00,55.5,2086,-55.5669,3109,3118,1079,0
1651288410.786435,30-Apr-202205:13:28.00,55.5,2086,-55.5665,3109,3118,1969,0
1651288436.738387,30-Apr-202205:13:54.00,55.5,2086,-55.5661,3109,3117,1547,0
1651288462.824025,30-Apr-202205:14:20.00,55.5,2086,-55.5659,3109,3118,1204,0
1651288488.777838,30-Apr-202205:14:46.00,55.5,2086,-55.5658,3109,3117,2566,0
1651288514.7382298,30-Apr-202205:15:12.00,55.5,2086,-55.5655,3109,3118,2956,0
1651288540.8269444,30-Apr-202205:15:38.00,55.5,2086,-55.566,3109,3118,1273,0
1651288566.7563446,30-Apr-202205:16:04.00,55.5,2086,-55.566,3108,3118,1108,0
1651288592.7204726,30-Apr-202205:16:30.00,55.5,2086,-55.5654,3108,3118,3214,0
1651288618.8357174,30-Apr-202205:16:56.00,55.5,2086,-55.5662,3109,3118,3258,0
1651288644.7548158,30-Apr-202205:17:22.00,55.5,2086,-55.5657,3108,3117,1102,0
1651288670.7144814,30-Apr-202205:17:48.00,55.5,2086,-55.5659,3109,3119,1998,0
1651288696.7924063,30-Apr-202205:18:14.00,55.5,2086,-55.5655,3108,3118,3216,0
1651288722.7388985,30-Apr-202205:18:40.00,55.5,2086,-55.5668,3110,3117,3100,0
1651288748.722803,30-Apr-202205:19:06.00,55.5,2086,-55.5664,3109,3118,2745,0
1651288774.8114343,30-Apr-202205:19:32.00,55.5,2086,-55.5665,3108,3118,3288,0
1651288800.7424989,30-Apr-202205:19:58.00,55.5,2086,-55.5663,3109,3118,2657,0
1651288826.6920652,30-Apr-202205:20:24.00,55.5,2086,-55.5661,3109,3119,1237,0
1651288852.800208,30-Apr-202205:20:50.00,55.5,2086,-55.5663,3109,3118,1684,0
1651288878.7443573,30-Apr-202205:21:16.00,55.5,2086,-55.5648,3109,3118,3142,0
1651288904.694753,30-Apr-202205:21:42.00,55.5,2086,-55.5646,3109,3118,2895,0
1651288930.7828867,30-Apr-202205:22:08.00,55.5,2086,-55.567,3109,3118,2140,0
1651288956.7151465,30-Apr-202205:22:34.00,55.5,2086,-55.5664,3109,3118,2259,0
1651288982.6837726,30-Apr-202205:23:00.00,55.5,2086,-55.5659,3109,3118,2761,0
