date UTC since epoch [s],date from Keithley,Voltage AFE U[V],Voltage AFE U[bit],Voltage Keithley [V],master measured voltage U[bit],slave measured voltage U[bit],master measured current U[bit],slave measured current U[bit]
1651239625.1467247,29-Apr-202215:40:24.00,59.5,1053,-23.883,559,558,0,0
1651239633.8548672,29-Apr-202215:40:33.00,59.5,1053,-59.5401,3323,3333,2804,0
1651239642.502943,29-Apr-202215:40:41.00,59.5,1053,-59.5415,3323,3333,3406,0
1651239651.1977613,29-Apr-202215:40:50.00,59.5,1053,-59.5419,3324,3333,3289,0
1651239659.8793926,29-Apr-202215:40:59.00,59.5,1053,-59.5427,3324,3333,2429,0
1651239668.57786,29-Apr-202215:41:07.00,59.5,1053,-59.5436,3324,3334,1253,0
1651239677.203118,29-Apr-202215:41:07.00,59.5,1053,-59.5436,3324,3334,2054,0
1651239685.900848,29-Apr-202215:41:25.00,59.5,1053,-59.5443,3324,3333,2889,0
1651239694.600341,29-Apr-202215:41:33.00,59.5,1053,-59.5448,3325,3334,3400,0
1651239703.24889,29-Apr-202215:41:42.00,59.5,1053,-59.5448,3325,3334,2891,0
1651239711.9479299,29-Apr-202215:41:51.00,59.5,1053,-59.5442,3324,3333,2567,0
1651239720.5953052,29-Apr-202215:41:59.00,59.5,1053,-59.5443,3325,3333,3422,0
1651239729.2888453,29-Apr-202215:42:08.00,59.5,1053,-59.5452,3324,3334,2459,0
1651239737.9545593,29-Apr-202215:42:17.00,59.5,1053,-59.5444,3324,3334,1261,0
1651239746.670949,29-Apr-202215:42:25.00,59.5,1053,-59.5451,3324,3334,2730,0
1651239755.3184764,29-Apr-202215:42:34.00,59.5,1053,-59.5446,3325,3333,3413,0
1651239764.0095172,29-Apr-202215:42:43.00,59.5,1053,-59.5444,3325,3333,3336,0
1651239772.6957433,29-Apr-202215:42:52.00,59.5,1053,-59.545,3324,3333,2983,0
1651239781.3937175,29-Apr-202215:43:00.00,59.5,1053,-59.5446,3325,3333,2416,0
1651239790.1267889,29-Apr-202215:43:09.00,59.5,1053,-59.5439,3325,3334,1291,0
1651239798.78845,29-Apr-202215:43:18.00,59.5,1053,-59.5435,3325,3333,2231,0
1651239807.4547076,29-Apr-202215:43:26.00,59.5,1053,-59.5435,3325,3334,3429,0
1651239816.1488016,29-Apr-202215:43:35.00,59.5,1053,-59.544,3324,3333,2633,0
1651239824.8258417,29-Apr-202215:43:44.00,59.5,1053,-59.5436,3325,3334,2159,0
1651239833.5315692,29-Apr-202215:43:52.00,59.5,1053,-59.5439,3325,3334,1613,0
1651239842.178831,29-Apr-202215:44:01.00,59.5,1053,-59.5432,3325,3333,1478,0
1651239850.86961,29-Apr-202215:44:10.00,59.5,1053,-59.5436,3325,3333,3278,0
1651239859.5645168,29-Apr-202215:44:18.00,59.5,1053,-59.5433,3324,3333,3259,0
1651239868.255262,29-Apr-202215:44:27.00,59.5,1053,-59.5431,3324,3333,2743,0
1651239876.961998,29-Apr-202215:44:36.00,59.5,1053,-59.5429,3325,3333,2115,0
1651239885.595149,29-Apr-202215:44:36.00,59.5,1053,-59.5429,3325,3334,1291,0
1651239894.2894664,29-Apr-202215:44:53.00,59.5,1053,-59.5426,3324,3333,2153,0
1651239902.9838843,29-Apr-202215:45:02.00,59.5,1053,-59.5427,3325,3334,3425,0
1651239911.6063495,29-Apr-202215:45:02.00,59.5,1053,-59.5427,3325,3333,1924,0
1651239920.322253,29-Apr-202215:45:19.00,59.5,1053,-59.5437,3324,3333,3039,0
1651239928.9761403,29-Apr-202215:45:28.00,59.5,1053,-59.544,3325,3333,3434,0
1651239937.6706378,29-Apr-202215:45:37.00,59.5,1053,-59.5439,3325,3334,3062,0
1651239946.3449152,29-Apr-202215:45:45.00,59.5,1053,-59.5434,3325,3334,1702,0
1651239955.0518227,29-Apr-202215:45:54.00,59.5,1053,-59.5432,3324,3333,1436,0
1651239963.701042,29-Apr-202215:46:03.00,59.5,1053,-59.5431,3325,3334,3191,0
1651239972.384791,29-Apr-202215:46:11.00,59.5,1053,-59.5434,3325,3334,2788,0
1651239981.076802,29-Apr-202215:46:20.00,59.5,1053,-59.5432,3325,3333,1221,0
1651239989.7739453,29-Apr-202215:46:29.00,59.5,1053,-59.5432,3326,3334,2037,0
1651239998.4266574,29-Apr-202215:46:37.00,59.5,1053,-59.5438,3325,3333,2889,0
1651240007.1055553,29-Apr-202215:46:46.00,59.5,1053,-59.5437,3325,3334,3427,0
1651240015.8019679,29-Apr-202215:46:55.00,59.5,1053,-59.5441,3325,3333,3007,0
1651240024.4356024,29-Apr-202215:46:55.00,59.5,1053,-59.5441,3325,3333,1520,0
1651240033.136505,29-Apr-202215:47:12.00,59.5,1053,-59.5422,3325,3333,1602,0
1651240041.828137,29-Apr-202215:47:21.00,59.5,1053,-59.5419,3325,3333,2945,0
1651240050.525676,29-Apr-202215:47:29.00,59.5,1053,-59.542,3325,3333,3443,0
1651240059.1771255,29-Apr-202215:47:38.00,59.5,1053,-59.5421,3325,3333,2667,0
1651240067.8657038,29-Apr-202215:47:47.00,59.5,1053,-59.5429,3324,3333,1269,0
1651240076.5550594,29-Apr-202215:47:55.00,59.5,1053,-59.5431,3325,3334,1671,0
1651240085.254611,29-Apr-202215:48:04.00,59.5,1053,-59.5434,3325,3334,3024,0
1651240093.8768778,29-Apr-202215:48:04.00,59.5,1053,-59.5434,3325,3333,3122,0
1651240102.6003003,29-Apr-202215:48:21.00,59.5,1053,-59.5435,3324,3334,2725,0
1651240111.2987194,29-Apr-202215:48:30.00,59.5,1053,-59.5438,3324,3333,3315,0
